fighter_1,fighter_2,fighter_1_odds,fighter_2_odds,winner,win_method,match_date,weight_class,match_duration_minutes
Faber U.,Saenz F.,1.16,5.12,Faber U.,Decision,2015-12-13,bantamweight-ufc-men,1.0
Sterling A.,Eduardo J.,1.17,5.17,Sterling A.,Technical Knockout,2015-12-10,bantamweight-ufc-men,23.75
Guangyou N.,Beltran M.,1.6,2.32,Beltran M.,Decision,2015-11-28,bantamweight-ufc-men,10.0
Jorgensen S.,Perez A.,1.69,2.15,Perez A.,Submission,2015-11-22,bantamweight-ufc-men,1.0
Almeida T.,Birchak A.,1.22,4.32,Almeida T.,Knockout,2015-11-08,bantamweight-ufc-men,3.0
Korea B.,Nicolau M.,2.6,1.52,Nicolau M.,Submission,2015-11-07,bantamweight-ufc-men,23.5
Mizugaki T.,Roop G.,1.4,2.9,Mizugaki T.,Decision,2015-09-27,bantamweight-ufc-men,2.0
Rivera F.,Lineker J.,2.18,1.67,Lineker J.,Technical Knockout,2015-09-06,bantamweight-ufc-men,0.0
Saenz F.,Kakai S.,0.0,0.0,PTS,Decision,2015-08-09,bantamweight-ufc-men,2.0
Vieira R.,Lopes D.,3.66,1.28,Vieira R.,Decision,2015-08-02,bantamweight-ufc-men,2.0
Viana H.,Cannetti G.,1.18,4.84,Cannetti G.,Decision,2015-08-01,bantamweight-ufc-men,23.0
Cruz D.,Garbrandt C.,1.42,2.86,Garbrandt C.,Decision,2016-12-31,bantamweight-ufc-men,3.0
Faber U.,Pickett B.,1.28,3.66,Faber U.,Decision,2016-12-18,bantamweight-ufc-men,1.0
Wineland E.,Mizugaki T.,1.54,2.48,Wineland E.,Technical Knockout,2016-12-17,bantamweight-ufc-men,21.5
Gagnon M.,Lopez M.,1.7,2.15,Lopez M.,Decision,2016-12-11,bantamweight-ufc-men,1.0
Font R.,Schnell M.,1.36,3.2,Font R.,Knockout,2016-12-04,bantamweight-ufc-men,1.0
Vera M.,Guangyou N.,1.76,2.06,Vera M.,Decision,2016-11-26,bantamweight-ufc-men,23.5
Almeida T.,Morales A.,1.31,3.42,Almeida T.,Technical Knockout,2016-11-20,bantamweight-ufc-men,2.0
Munhoz P.,Scoggins J.,2.15,1.71,Munhoz P.,Submission,2016-11-20,bantamweight-ufc-men,0.0
Entwistle I.,Font R.,3.4,1.29,canc.,Cancelled,2016-10-09,bantamweight-ufc-men,0.0
Lineker J.,Dodson J.,2.12,1.73,Lineker J.,Decision,2016-10-02,bantamweight-ufc-men,3.0
Yahya R.,Tanaka M.,1.84,1.97,Yahya R.,Decision,2016-09-25,bantamweight-ufc-men,0.0
Quinonez J.,Gomez J.,2.2,1.68,Quinonez J.,Decision,2016-09-18,bantamweight-ufc-men,0.0
Perez A.,Morales A.,1.86,1.96,Draw,Draw,2016-09-17,bantamweight-ufc-men,23.0
Faber U.,Rivera J.,2.29,1.6,Rivera J.,Decision,2016-09-11,bantamweight-ufc-men,2.0
Lapilus T.,Issa L.,1.63,2.27,Lapilus T.,Decision,2016-09-03,bantamweight-ufc-men,15.75
Guangyou N.,Vera M.,0.0,0.0,canc.,Cancelled,2016-08-27,bantamweight-ufc-men,21.0
Garbrandt C.,Mizugaki T.,1.17,4.91,Garbrandt C.,Knockout,2016-08-21,bantamweight-ufc-men,0.0
Rivera F.,Perez E.,2.25,1.68,Perez E.,Decision,2016-07-31,bantamweight-ufc-men,2.0
Saenz F.,Wineland E.,1.64,2.28,Wineland E.,Technical Knockout,2016-07-23,bantamweight-ufc-men,22.0
McDonald M.,Lineker J.,2.42,1.58,Lineker J.,Knockout,2016-07-14,bantamweight-ufc-men,1.0
Yahya R.,Lopez M.,2.33,1.6,Yahya R.,Submission,2016-07-13,bantamweight-ufc-men,21.5
Dillashaw TJ,Assuncao R.,1.22,4.44,Dillashaw TJ,Decision,2016-07-10,bantamweight-ufc-men,0.0
Arantes F.,Sanders J.,1.63,2.27,Arantes F.,Submission,2016-07-07,bantamweight-ufc-men,22.5
Doane R.,Munhoz P.,2.8,1.43,Munhoz P.,Submission,2016-07-07,bantamweight-ufc-men,22.5
Soto J.,Beal C.,1.78,2.05,Soto J.,Submission,2016-06-19,bantamweight-ufc-men,0.5
Cruz D.,Faber U.,1.24,4.14,Cruz D.,Decision,2016-06-05,bantamweight-ufc-men,3.5
Almeida T.,Garbrandt C.,1.54,2.5,Garbrandt C.,Knockout,2016-05-30,bantamweight-ufc-men,1.0
Sterling A.,Caraway B.,1.26,3.8,Caraway B.,Decision,2016-05-29,bantamweight-ufc-men,22.0
Lineker J.,Font R.,1.71,2.17,Lineker J.,Decision,2016-05-15,bantamweight-ufc-men,0.0
Dodson J.,Gamburyan M.,1.18,4.84,Dodson J.,Technical Knockout,2016-04-16,bantamweight-ufc-men,20.0
Entwistle I.,Perez A.,1.65,2.23,Perez A.,Technical Knockout,2016-04-10,bantamweight-ufc-men,16.0
Grant D.,Vera M.,1.49,2.6,Grant D.,Decision,2016-02-27,bantamweight-ufc-men,17.75
Lineker J.,Garbrandt C.,0.0,0.0,canc.,Cancelled,2016-02-22,bantamweight-ufc-men,2.0
Alcantara Y.,Rivera J.,2.34,1.58,Rivera J.,Decision,2016-01-31,bantamweight-ufc-men,1.0
Dillashaw TJ,Cruz D.,1.66,2.25,Cruz D.,Decision,2016-01-18,bantamweight-ufc-men,3.0
Font R.,Gomez J.,1.47,2.75,Font R.,Knockout,2016-01-17,bantamweight-ufc-men,23.0
McDonald M.,Kanehara M.,1.17,5.07,McDonald M.,Submission,2016-01-03,bantamweight-ufc-men,1.0
Elliott T.,De La Rosa M.,1.46,2.72,Elliott T.,Submission,2017-12-31,bantamweight-ufc-men,0.5
Moraes M.,Sterling A.,1.63,2.26,Moraes M.,Knockout,2017-12-10,bantamweight-ufc-men,3.0
de Tomas C. J.,Perez A.,4.02,1.24,Perez A.,Submission,2017-12-10,bantamweight-ufc-men,1.0
Sanders L.,Soukhamthath A.,1.37,3.1,Soukhamthath A.,Technical Knockout,2017-12-10,bantamweight-ufc-men,1.0
Perez A.,Alcantara Y.,2.57,1.5,Perez A.,Decision,2017-12-09,bantamweight-ufc-men,23.5
O'Malley S.,Ware T.,1.4,2.95,O'Malley S.,Decision,2017-12-02,bantamweight-ufc-men,3.0
Song Y.,Khandare B.,1.65,2.25,Song Y.,Submission,2017-11-25,bantamweight-ufc-men,8.75
Assuncao R.,Lopez M.,1.27,3.77,Assuncao R.,Knockout,2017-11-12,bantamweight-ufc-men,3.0
Garbrandt C.,Dillashaw TJ,1.48,2.64,Dillashaw TJ,Knockout,2017-11-05,bantamweight-ufc-men,2.0
Zahabi A.,Ramos R.,2.67,1.48,Ramos R.,Knockout,2017-11-04,bantamweight-ufc-men,23.0
Lineker J.,Vera M.,1.18,4.77,Lineker J.,Decision,2017-10-29,bantamweight-ufc-men,2.0
Arantes F.,Emmett J.,3.28,1.34,Emmett J.,Decision,2017-10-21,bantamweight-ufc-men,15.75
Perez A.,Soukhamthath A.,1.68,2.22,Perez A.,Decision,2017-08-06,bantamweight-ufc-men,2.0
Quinonez J.,Rivas D.,1.39,3.02,Quinonez J.,Decision,2017-08-06,bantamweight-ufc-men,0.0
Shelton E.,Brooks J.,2.29,1.63,Brooks J.,Decision,2017-07-29,bantamweight-ufc-men,22.5
Rivera J.,Almeida T.,1.5,2.65,Rivera J.,Decision,2017-07-23,bantamweight-ufc-men,0.0
Kelleher B.,Vera M.,1.44,2.81,Vera M.,Submission,2017-07-22,bantamweight-ufc-men,20.0
Johns B.,Morales A.,1.26,3.89,Johns B.,Decision,2017-07-16,bantamweight-ufc-men,16.0
Ho Kwak K.,Doane R.,1.8,2.02,Doane R.,Knockout,2017-06-17,bantamweight-ufc-men,8.75
Alcantara Y.,Kelleher B.,1.27,3.9,Kelleher B.,Submission,2017-06-04,bantamweight-ufc-men,0.0
Eduardo J.,Lopez M.,1.96,1.88,Lopez M.,Technical Knockout,2017-06-04,bantamweight-ufc-men,0.0
Munhoz P.,Stasiak D.,1.13,6.12,Munhoz P.,Decision,2017-05-28,bantamweight-ufc-men,15.0
Dodson J.,Wineland E.,1.24,4.23,Dodson J.,Decision,2017-04-23,bantamweight-ufc-men,2.0
Williams P.,Duquesnoy T.,7.41,1.1,Duquesnoy T.,Technical Knockout,2017-04-15,bantamweight-ufc-men,22.0
Entwistle I.,Johns B.,4.25,1.23,canc.,Cancelled,2017-03-18,bantamweight-ufc-men,17.5
Yahya R.,Soto J.,1.44,2.84,Soto J.,Decision,2017-03-12,bantamweight-ufc-men,1.0
Alcantara Y.,Sanders L.,2.25,1.66,Alcantara Y.,Submission,2017-03-05,bantamweight-ufc-men,1.0
Morales A.,Soukhamthath A.,1.69,2.2,Morales A.,Decision,2017-03-04,bantamweight-ufc-men,23.5
Zahabi A.,Vieira R.,1.38,3.07,Zahabi A.,Decision,2017-02-20,bantamweight-ufc-men,0.0
Ramos R.,Tanaka M.,2.16,1.7,Ramos R.,Decision,2017-02-05,bantamweight-ufc-men,1.0
Assuncao R.,Sterling A.,1.67,2.21,Assuncao R.,Decision,2017-01-28,bantamweight-ufc-men,22.0
Saenz F.,Mendes A.,1.6,2.32,Mendes A.,Decision,2017-01-16,bantamweight-ufc-men,1.0
Andrade D.,Yan P.,3.63,1.29,Yan P.,Technical Knockout,2018-12-30,bantamweight-ufc-men,1.5
Wood N.,Ewell A.,1.85,1.96,Wood N.,Submission,2018-12-30,bantamweight-ufc-men,0.5
Font R.,Pettis S.,1.59,2.37,Font R.,Decision,2018-12-16,bantamweight-ufc-men,1.5
Katona B.,Lopez M.,1.6,2.39,Katona B.,Decision,2018-12-09,bantamweight-ufc-men,0.5
Munhoz P.,Caraway B.,1.36,3.15,Munhoz P.,Technical Knockout,2018-12-01,bantamweight-ufc-men,4.0
Barcelos R.,Gutierrez C.,1.19,4.64,Barcelos R.,Submission,2018-11-30,bantamweight-ufc-men,23.5
Song Y.,Morales V.,1.19,4.8,Song Y.,Decision,2018-11-24,bantamweight-ufc-men,12.0
Mudaerji S.,Smolka L.,2.46,1.56,Smolka L.,Submission,2018-11-24,bantamweight-ufc-men,8.25
Cannetti G.,Vera M.,3.58,1.3,Vera M.,Submission,2018-11-18,bantamweight-ufc-men,3.5
Kelleher B.,Jackson M.,2.3,1.64,canc.,Cancelled,2018-11-03,bantamweight-ufc-men,23.25
Soukhamthath A.,Martinez J.,1.66,2.3,Soukhamthath A.,Decision,2018-10-28,bantamweight-ufc-men,3.0
Barao R.,Ewell A.,1.54,2.53,Ewell A.,Decision,2018-09-23,bantamweight-ufc-men,3.0
Yan P.,Soo Son J.,1.1,7.85,Yan P.,Decision,2018-09-15,bantamweight-ufc-men,17.0
Sterling A.,Stamann C.,1.58,2.43,Sterling A.,Submission,2018-09-09,bantamweight-ufc-men,1.0
Sandhagen C.,Alcantara Y.,1.46,2.84,Sandhagen C.,Technical Knockout,2018-08-26,bantamweight-ufc-men,1.0
Yahya R.,Sanders L.,1.87,1.98,Yahya R.,Submission,2018-08-25,bantamweight-ufc-men,22.5
Dillashaw TJ,Garbrandt C.,1.72,2.16,Dillashaw TJ,Technical Knockout,2018-08-05,bantamweight-ufc-men,4.0
Simon R.,Jackson M.,2.01,1.82,Simon R.,Decision,2018-08-05,bantamweight-ufc-men,1.0
Vera M.,Buren W.,1.21,4.64,Vera M.,Technical Knockout,2018-08-04,bantamweight-ufc-men,22.5
Bermudez M.,Grant D.,1.33,3.44,Bermudez M.,Submission,2018-07-22,bantamweight-ufc-men,15.58
Wineland E.,Perez A.,2.49,1.56,Perez A.,Decision,2018-07-15,bantamweight-ufc-men,1.5
Assuncao R.,Font R.,1.71,2.19,Assuncao R.,Decision,2018-07-08,bantamweight-ufc-men,1.0
Ishihara T.,Yan P.,5.11,1.19,Yan P.,Knockout,2018-06-23,bantamweight-ufc-men,11.0
Rivera J.,Moraes M.,1.9,1.93,Moraes M.,Technical Knockout,2018-06-02,bantamweight-ufc-men,4.5
Eduardo J.,Wood N.,3.11,1.38,Wood N.,Submission,2018-06-01,bantamweight-ufc-men,23.0
Grant D.,Bermudez M.,2.91,1.35,canc.,Cancelled,2018-05-27,bantamweight-ufc-men,17.5
Rivas D.,Cannetti G.,1.6,2.38,Cannetti G.,Decision,2018-05-20,bantamweight-ufc-men,2.5
Briones E.,Saenz F.,3.63,1.3,Saenz F.,Decision,2018-05-19,bantamweight-ufc-men,22.5
Lineker J.,Kelleher B.,1.38,3.13,Lineker J.,Knockout,2018-05-13,bantamweight-ufc-men,2.5
Sterling A.,Johns B.,1.89,1.94,Sterling A.,Decision,2018-04-22,bantamweight-ufc-men,2.0
Lopez M.,Perez A.,0.0,0.0,TKO,Technical Knockout,2018-04-14,bantamweight-ufc-men,23.25
Duquesnoy T.,Ware T.,1.27,3.77,Duquesnoy T.,Decision,2018-03-17,bantamweight-ufc-men,21.0
O'Malley S.,Soukhamthath A.,1.77,2.12,O'Malley S.,Decision,2018-03-04,bantamweight-ufc-men,4.0
Caraway B.,Stamann C.,2.06,1.8,Stamann C.,Decision,2018-03-04,bantamweight-ufc-men,0.5
Yahya R.,Doane R.,0.0,0.0,SUBM,Submission,2018-02-25,bantamweight-ufc-men,0.5
Ishihara T.,Quinonez J.,2.35,1.61,Quinonez J.,Decision,2018-02-10,bantamweight-ufc-men,23.5
Dodson J.,Munhoz P.,0.0,0.0,canc.,Cancelled,2018-02-04,bantamweight-ufc-men,4.0
Vera M.,Andrade D.,1.64,2.26,Andrade D.,Decision,2018-02-04,bantamweight-ufc-men,0.5
Kang K. H.,Liu P.,1.38,3.03,Kang K. H.,Decision,2019-12-21,bantamweight-ufc-men,10.0
Alateng H.,Benoit R.,1.96,1.83,Alateng H.,Decision,2019-12-21,bantamweight-ufc-men,7.0
Moraes M.,Aldo J.,1.54,2.52,Moraes M.,Decision,2019-12-15,bantamweight-ufc-men,3.5
Stamann C.,Song Y.,2.67,1.49,Draw,Draw,2019-12-08,bantamweight-ufc-men,2.5
Andrade D.,Barao R.,1.39,3.02,Andrade D.,Decision,2019-11-16,bantamweight-ufc-men,22.5
Popov G.,Grant D.,1.6,2.34,Grant D.,Decision,2019-11-09,bantamweight-ufc-men,16.0
Costa R.,Salmon B.,2.26,1.66,Costa R.,Technical Knockout,2019-10-18,bantamweight-ufc-men,23.5
Vera M.,Ewell A.,1.66,2.27,Vera M.,Technical Knockout,2019-10-12,bantamweight-ufc-men,22.5
Taha K.,Silva B.,1.44,2.83,Taha K.,Submission,2019-10-05,bantamweight-ufc-men,22.25
Shore J.,Hernandez N.,1.47,2.74,Shore J.,Submission,2019-09-28,bantamweight-ufc-men,15.0
Quinonez J.,Quiroz C. H.,1.61,2.31,Quinonez J.,Decision,2019-09-21,bantamweight-ufc-men,23.5
Smith C.,Johns M.,2.12,1.73,Johns M.,Decision,2019-09-14,bantamweight-ufc-men,23.0
Smolka L.,MacDonald R.,1.42,2.91,Smolka L.,Technical Knockout,2019-09-14,bantamweight-ufc-men,21.25
Taha K.,Silva B.,0.0,0.0,canc.,Cancelled,2019-09-08,bantamweight-ufc-men,2.0
Mudaerji S.,Soukhamthath A.,2.36,1.6,Mudaerji S.,Decision,2019-08-31,bantamweight-ufc-men,9.0
Assuncao R.,Sandhagen C.,3.01,1.4,Sandhagen C.,Decision,2019-08-18,bantamweight-ufc-men,1.0
Kang K. H.,Davis B.,1.48,2.67,Kang K. H.,Decision,2019-08-17,bantamweight-ufc-men,23.0
de Freitas G.,Gutierrez C.,1.62,2.33,Gutierrez C.,Decision,2019-08-10,bantamweight-ufc-men,22.0
Borg R.,Silva G.,1.53,2.54,Borg R.,Decision,2019-07-20,bantamweight-ufc-men,22.5
Pilarte D.,Colares F.,1.28,3.78,Colares F.,Decision,2019-07-20,bantamweight-ufc-men,22.0
Faber U.,Simon R.,3.66,1.29,Faber U.,Technical Knockout,2019-07-14,bantamweight-ufc-men,1.5
Liu P.,Martinez J.,1.56,2.42,Martinez J.,Knockout,2019-07-13,bantamweight-ufc-men,21.5
Lopez B.,Morales V.,1.98,1.82,Lopez B.,Decision,2019-07-13,bantamweight-ufc-men,21.0
O'Malley S.,Vera M.,0.0,0.0,canc.,Cancelled,2019-07-07,bantamweight-ufc-men,2.0
Perez A.,Song Y.,2.75,1.46,Song Y.,Knockout,2019-07-07,bantamweight-ufc-men,0.0
Ramos R.,Newson J.,1.28,3.73,Ramos R.,Decision,2019-06-30,bantamweight-ufc-men,0.5
Pettis S.,Ramos R.,0.0,0.0,canc.,Cancelled,2019-06-29,bantamweight-ufc-men,22.0
Font R.,Stamann C.,0.0,0.0,canc.,Cancelled,2019-06-23,bantamweight-ufc-men,1.0
Ewell A.,dos Santos A.,1.89,1.93,Ewell A.,Decision,2019-06-22,bantamweight-ufc-men,20.0
Cejudo H.,Moraes M.,2.29,1.65,Cejudo H.,Technical Knockout,2019-06-09,bantamweight-ufc-men,4.0
Sterling A.,Munhoz P.,1.66,2.27,Sterling A.,Decision,2019-06-09,bantamweight-ufc-men,1.0
Wineland E.,Popov G.,1.62,2.3,Wineland E.,Technical Knockout,2019-06-08,bantamweight-ufc-men,23.75
Barcelos R.,Quiroz C. H.,1.11,6.8,Barcelos R.,Technical Knockout,2019-05-11,bantamweight-ufc-men,22.75
Katona B.,Dvalishvili M.,2.36,1.6,Dvalishvili M.,Decision,2019-05-05,bantamweight-ufc-men,1.0
Zahabi A.,Morales V.,1.59,2.4,Morales V.,Decision,2019-05-04,bantamweight-ufc-men,23.0
Lineker J.,Sandhagen C.,1.67,2.22,Sandhagen C.,Decision,2019-04-28,bantamweight-ufc-men,1.5
Jackson M.,Soukhamthath A.,1.19,4.93,Jackson M.,Decision,2019-04-13,bantamweight-ufc-men,23.25
Simon R.,Kelleher B.,0.0,0.0,canc.,Cancelled,2020-09-05,bantamweight-ufc-men,23.0
Edgar F.,Munhoz P.,3.19,1.35,Edgar F.,Decision,2020-08-23,bantamweight-ufc-men,2.5
Striegl M.,Valiev T.,0.0,0.0,canc.,Cancelled,2020-08-22,bantamweight-ufc-men,21.0
O'Malley S.,Vera M.,1.34,3.28,Vera M.,Technical Knockout,2020-08-16,bantamweight-ufc-men,3.5
al-Qaisi A.,Rivera I.,2.45,1.57,Rivera I.,Decision,2020-08-08,bantamweight-ufc-men,22.0
Saenz F.,Martinez J.,2.99,1.4,Martinez J.,Technical Knockout,2020-08-02,bantamweight-ufc-men,0.5
Borg R.,Maness N.,0.0,0.0,canc.,Cancelled,2020-08-01,bantamweight-ufc-men,23.5
Emmers J.,Valiev T.,2.35,1.6,canc.,Cancelled,2020-08-01,bantamweight-ufc-men,22.5
Nurmagomedov O.,Wood N.,0.0,0.0,canc.,Cancelled,2020-07-26,bantamweight-ufc-men,0.0
Wood N.,Castaneda J.,1.21,4.41,Wood N.,Decision,2020-07-25,bantamweight-ufc-men,21.0
Johns B.,Jackson M.,2.92,1.41,Johns B.,Decision,2020-07-18,bantamweight-ufc-men,22.0
Munhoz P.,Edgar F.,0.0,0.0,canc.,Cancelled,2020-07-16,bantamweight-ufc-men,2.0
Shore J.,dos Santos A.,0.0,0.0,canc.,Cancelled,2020-07-15,bantamweight-ufc-men,23.42
Yan P.,Aldo J.,1.37,3.15,Yan P.,Technical Knockout,2020-07-12,bantamweight-ufc-men,3.0
Day M.,Grant D.,1.67,2.22,Grant D.,Knockout,2020-07-11,bantamweight-ufc-men,22.0
Borg R.,Dvalishvili M.,0.0,0.0,canc.,Cancelled,2020-06-14,bantamweight-ufc-men,2.0
Moraes M.,Yan P.,0.0,0.0,canc.,Cancelled,2020-06-13,bantamweight-ufc-men,15.0
Garbrandt C.,Assuncao R.,1.63,2.31,Garbrandt C.,Knockout,2020-06-07,bantamweight-ufc-men,3.5
O'Malley S.,Wineland E.,1.18,5.0,O'Malley S.,Knockout,2020-06-07,bantamweight-ufc-men,2.0
Kenney C.,Smolka L.,1.35,3.22,Kenney C.,Submission,2020-05-30,bantamweight-ufc-men,22.5
Vera M.,Song Y.,2.62,1.51,Song Y.,Decision,2020-05-17,bantamweight-ufc-men,1.0
Borg R.,Simon R.,2.37,1.61,Simon R.,Decision,2020-05-14,bantamweight-ufc-men,1.5
Azure H.,Kelleher B.,1.48,2.67,Kelleher B.,Knockout,2020-05-13,bantamweight-ufc-men,22.5
Cejudo H.,Cruz D.,1.46,2.78,Cejudo H.,Technical Knockout,2020-05-10,bantamweight-ufc-men,3.5
Cejudo H.,Aldo J.,0.0,0.0,canc.,Cancelled,2020-05-09,bantamweight-ufc-men,21.0
Johns B.,Jackson M.,0.0,0.0,canc.,Cancelled,2020-04-25,bantamweight-ufc-men,21.0
Borg R.,Vera M.,0.0,0.0,canc.,Cancelled,2020-04-19,bantamweight-ufc-men,2.0
Assuncao R.,Garbrandt C.,2.18,1.67,canc.,Cancelled,2020-03-28,bantamweight-ufc-men,22.0
Grant D.,Smolka L.,2.9,1.4,postp.,Postponed,2020-03-28,bantamweight-ufc-men,22.0
Vera M.,Wineland E.,0.0,0.0,postp.,Postponed,2020-03-28,bantamweight-ufc-men,22.0
Shore J.,de Freitas G.,0.0,0.0,postp.,Postponed,2020-03-21,bantamweight-ufc-men,18.0
Silva B.,Mudaerji S.,0.0,0.0,canc.,Cancelled,2020-03-14,bantamweight-ufc-men,22.0
Quinones J.,O'Malley S.,3.52,1.31,O'Malley S.,Technical Knockout,2020-03-08,bantamweight-ufc-men,2.5
Cannetti G.,Danaa B.,2.1,1.74,Danaa B.,Technical Knockout,2020-03-07,bantamweight-ufc-men,23.25
Silva G.,Phillips K.,1.8,2.01,Phillips K.,Decision,2020-03-01,bantamweight-ufc-men,0.5
Dodson J.,Wood N.,2.29,1.63,Dodson J.,Technical Knockout,2020-02-16,bantamweight-ufc-men,0.0
Johns M.,Bautista M.,1.73,2.14,Bautista M.,Technical Knockout,2020-02-09,bantamweight-ufc-men,1.0
Pilarte D.,Newson J.,1.79,2.05,Newson J.,Technical Knockout,2020-02-09,bantamweight-ufc-men,0.25
Miller C.,Alers J.,1.92,1.9,canc.,Cancelled,2015-12-19,featherweight-ufc-men,22.0
Aldo J.,McGregor C.,1.88,1.94,McGregor C.,Knockout,2015-12-13,featherweight-ufc-men,3.0
Edgar F.,Mendes C.,1.74,2.09,Edgar F.,Knockout,2015-12-11,featherweight-ufc-men,23.0
Tukhugov Z.,Nover P.,1.26,4.01,Tukhugov Z.,Decision,2015-12-10,featherweight-ufc-men,23.75
Choi D. H.,Sicilia S.,1.38,3.04,Choi D. H.,Knockout,2015-11-28,featherweight-ufc-men,13.0
Lamas R.,Sanchez D.,1.19,4.7,Lamas R.,Decision,2015-11-22,featherweight-ufc-men,3.0
Guida C.,Tavares T.,1.6,2.35,Tavares T.,Submission,2015-11-08,featherweight-ufc-men,1.0
Elkins D.,Whiteford R.,1.66,2.17,Elkins D.,Decision,2015-10-24,featherweight-ufc-men,17.0
Rodriguez Y.,Hooker D.,1.3,3.42,Rodriguez Y.,Decision,2015-10-03,featherweight-ufc-men,23.0
Hirota M.,Ishihara T.,1.36,3.17,Draw,Draw,2015-09-27,featherweight-ufc-men,2.0
Collard C.,Trator T.,1.68,2.17,Trator T.,Decision,2015-09-06,featherweight-ufc-men,0.0
Silva J.,Malegarie N.,2.08,1.73,Silva J.,Decision,2015-09-05,featherweight-ufc-men,23.0
Holloway M.,Oliveira C.,1.4,2.94,Holloway M.,Technical Knockout,2015-08-24,featherweight-ufc-men,1.0
Jabouin Y.,Arantes F.,2.7,1.44,Arantes F.,Technical Knockout,2015-08-23,featherweight-ufc-men,23.0
Miller C.,Hirota M.,1.93,1.88,Hirota M.,Decision,2016-12-17,featherweight-ufc-men,23.0
Holloway M.,Pettis A.,1.41,2.93,Holloway M.,Technical Knockout,2016-12-11,featherweight-ufc-men,3.0
Trator T.,Burgos S.,2.44,1.55,Burgos S.,Decision,2016-12-09,featherweight-ufc-men,22.5
Maynard G.,Hall R.,1.98,1.83,Hall R.,Decision,2016-12-04,featherweight-ufc-men,1.0
Kasuya Y.,Volkanovski A.,2.47,1.54,Volkanovski A.,Technical Knockout,2016-11-27,featherweight-ufc-men,3.0
Hooker D.,Knight J.,1.61,2.29,Knight J.,Decision,2016-11-26,featherweight-ufc-men,23.5
Lobov A.,Ishihara T.,3.07,1.39,Lobov A.,Decision,2016-11-19,featherweight-ufc-men,21.0
Edgar F.,Stephens J.,1.32,3.46,Edgar F.,Decision,2016-11-13,featherweight-ufc-men,2.5
Barzola E.,Avila C.,1.19,4.78,Barzola E.,Decision,2016-11-05,featherweight-ufc-men,22.5
Bektic M.,Doane R.,1.16,5.34,Bektic M.,Submission,2016-10-09,featherweight-ufc-men,2.0
Dias H.,Fili A.,1.59,2.38,Fili A.,Decision,2016-10-02,featherweight-ufc-men,1.0
Barao R.,Nover P.,1.17,5.01,Barao R.,Decision,2016-09-25,featherweight-ufc-men,2.0
Skelly C.,Blanco M.,1.58,2.43,Skelly C.,Submission,2016-09-18,featherweight-ufc-men,2.0
Buschkamp M.,Enlund A.,0.0,0.0,canc.,Cancelled,2016-09-03,featherweight-ufc-men,15.75
Pettis A.,Oliveira C.,1.44,2.82,Pettis A.,Submission,2016-08-28,featherweight-ufc-men,0.0
Barzola E.,Bochniak K.,2.34,1.59,Bochniak K.,Decision,2016-08-27,featherweight-ufc-men,22.0
Lobov A.,Avila C.,1.75,2.07,Lobov A.,Decision,2016-08-21,featherweight-ufc-men,0.0
Bermudez D.,Jason R.,1.38,3.09,Bermudez D.,Decision,2016-08-07,featherweight-ufc-men,2.0
Ishihara T.,Gutierrez H.,1.44,2.81,Ishihara T.,Technical Knockout,2016-08-07,featherweight-ufc-men,0.0
Swanson C.,Kawajiri T.,1.29,3.59,Swanson C.,Decision,2016-08-06,featherweight-ufc-men,23.0
Elkins D.,Pepey G.,1.43,2.89,Elkins D.,Decision,2016-07-23,featherweight-ufc-men,22.0
Aldo J.,Edgar F.,1.94,1.85,Aldo J.,Decision,2016-07-10,featherweight-ufc-men,2.0
Maynard G.,Bruno F.,1.64,2.32,Maynard G.,Decision,2016-07-09,featherweight-ufc-men,2.0
Holloway M.,Lamas R.,1.35,3.27,Holloway M.,Decision,2016-06-05,featherweight-ufc-men,2.67
Miller C.,Caceres A.,1.57,2.43,Caceres A.,Decision,2016-06-05,featherweight-ufc-men,0.0
Barao R.,Stephens J.,1.6,2.35,Stephens J.,Decision,2016-05-30,featherweight-ufc-men,1.0
Carneiro R.,Tukhugov Z.,2.09,1.75,Carneiro R.,Decision,2016-05-14,featherweight-ufc-men,22.5
Rodriguez Y.,Fili A.,1.88,1.93,Rodriguez Y.,Knockout,2016-04-24,featherweight-ufc-men,2.0
Swanson C.,Dias H.,1.81,1.99,Swanson C.,Decision,2016-04-17,featherweight-ufc-men,0.0
Whiteford R.,Martins L.,2.0,1.8,Martins L.,Decision,2016-04-10,featherweight-ufc-men,14.5
Hooker D.,Eddiva M.,1.5,2.58,Hooker D.,Submission,2016-03-19,featherweight-ufc-men,22.5
Elkins D.,Skelly C.,2.45,1.58,Elkins D.,Decision,2016-03-06,featherweight-ufc-men,1.0
Erosa J.,Ishihara T.,1.55,2.47,Ishihara T.,Knockout,2016-03-05,featherweight-ufc-men,23.5
Allen A.,Meza Y.,1.29,3.64,Allen A.,Decision,2016-02-27,featherweight-ufc-men,17.75
Bermudez D.,Kawajiri T.,1.27,3.79,Bermudez D.,Decision,2016-02-22,featherweight-ufc-men,2.0
Lahat N.,Rivas D.,1.29,3.66,Rivas D.,Knockout,2016-02-06,featherweight-ufc-men,23.0
Caceres A.,Fullen M.,1.34,3.25,Caceres A.,Decision,2016-01-30,featherweight-ufc-men,22.0
Blanco M.,Sanders L.,1.82,2.01,Sanders L.,Submission,2016-01-18,featherweight-ufc-men,1.0
